"","NewTitle","Release_Date.x","Number","Movie_Title","Movie_Type","National_Spectator_Number","Running_Time","Revenue","Spectator_Number","Screen_Number","Play_Number","Movie_Category","Release_Date.y","Nationality_First","Distributor","Movie_Rate","Genre_Name","Genre1","Genre3","Genre3","Director_Name","Director1","Director3","Director3","Actor_Name","Actor1","Actor3","Actor3"
"3616","킹콩",2005-12-14,"77 ","킹콩","장편",4232430,186,21476052900,3469311,554,38395,"일반영화","2005-12-14","미국","UIP코리아","15세관람가",2,"드라마","어드벤처","",1,"피터 잭슨","","",4,"에드리언 브로디","잭 블랙","애드리언 브로디"
"2587","어메이징스파이더맨2",2014-04-23,"78 ","어메이징 스파이더맨 2","장편",4164946,142,34844174800,4164946,1312,91694,"일반영화","2014-04-23","미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","12세이상관람가",2,"액션","판타지","",1,"마크 웹","","",4,"앤드류 가필드","엠마 스톤","제이미 폭스"
"3081","인디아나존스4크리스탈해골의왕국",2008-05-22,"79 ","인디아나 존스 4 : 크리스탈 해골의 왕국","장편",4136101,121,26689440000,4111753,771,75393,"일반영화","2008-05-22","미국","씨제이엔터테인먼트(주)","12세이상관람가",2,"액션","어드벤처","",1,"스티븐 스필버그","","",2,"해리슨 포드","샤이아 라보프",""
"2873","용의자",2013-12-24,"80 ","용의자","장편",4131873,138,30041348000,4131873,1425,69123,"일반영화","2013-12-24","한국","쇼박스㈜미디어플렉스","15세이상관람가",2,"액션","스릴러","",1,"원신연","","",9,"공유","박희순","조성하"
"170","건축학개론",2012-03-22,"81 ","건축학개론","장편",4110645,118,30222696000,4111068,593,106067,"일반영화","2012-03-22","한국","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가",2,"멜로/로맨스","드라마","",1,"이용주","","",11,"엄태웅","한가인","이제훈"
"3643","태풍",2005-12-14,"82 ","태풍","장편",4094395,125,22209675300,3471150,692,47155,"일반영화","2005-12-14","한국","씨제이엔터테인먼트(주)","15세관람가",2,"드라마","액션","",1,"곽경택","","",23,"김혜정","김원진","이정재"
"1509","미이라3황제의무덤",2008-07-30,"83 ","미이라 3:황제의 무덤","장편",4090795,111,26217311000,4090885,634,64779,"일반영화","2008-07-30","미국","유니버설픽쳐스인터내셔널 코리아(유)","12세이상관람가",3,"액션","어드벤처","판타지",1,"롭 코헨","","",3,"브렌든 프레이저","마리아 벨로","이연걸"
"63","7급공무원",2009-04-22,"84 ","7급 공무원","장편",4088799,112,26380710000,4039891,475,90779,"일반영화","2009-04-22","한국","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가",4,"코미디","액션","드라마",1,"신태라","","",25,"김하늘","강지환","유승목"
"690","다크나이트",2008-08-06,"85 ","다크 나이트","장편",4087355,152,27046915500,4086362,525,64582,"일반영화","2008-08-06","미국","워너브러더스 (주)","15세이상관람가",4,"범죄","드라마","액션",1,"크리스토퍼 놀란","","",7,"크리스찬 베일","마이클 케인","히스 레저"
"738","댄싱퀸",2012-01-18,"86 ","댄싱퀸","장편",4057546,124,30130775500,4058225,544,80987,"일반영화","2012-01-18","한국","씨제이이앤엠(주)","12세이상관람가",2,"코미디","드라마","",1,"이석훈","","",10,"황정민","엄정화","정성화"
"2899","우리생애최고의순간",2008-01-10,"87 ","우리 생애 최고의 순간","장편",4044582,124,26113394000,4018059,418,70721,"일반영화","2008-01-10","한국","싸이더스 픽쳐스","전체관람가",1,"드라마","","",1,"임순례","","",29,"문소리","김미소","김정은"
"4159","혹성탈출반격의서막",2014-07-10,"88 ","혹성탈출: 반격의 서막","장편",4001645,130,31513748095,4002539,956,72881,"일반영화","2014-07-10","미국","이십세기폭스코리아(주)","12세이상관람가",4,"액션","드라마","SF",1,"맷 리브스","","",3,"앤디 서키스","게리 올드만","제이슨 클락"
"3475","캡틴아메리카윈터솔져",2014-03-26,"89 ","캡틴 아메리카: 윈터 솔져","장편",3962812,136,31707872385,3962812,1106,110097,"일반영화","2014-03-26","미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","15세이상관람가",3,"액션","어드벤처","SF",2,"조 루소","안소니 루소","",4,"크리스 에반스","스칼렛 요한슨","사무엘 L. 잭슨"
"233","공공의적2",2005-01-27,"90 ","공공의 적 2","장편",3911356,149,20091127000,3134421,299,40642,"일반영화","2005-01-27","한국","(주)시네마서비스","15세관람가",1,"드라마","","",1,"강우석","","",14,"설경구","정준호","유해진"
