Movie_Title	Release_Date	Nationality_First	Nationality	Production_Company	Distributor	Movie_Rate	Genre	Director	Actor
몸탐정	2014-08-20	일본	일본		(유)조이앤컨텐츠그룹	청소년관람불가	멜로/로맨스,드라마	야기 카즈스케	후지사키 리오
미요리의 숲	2014-08-19	일본	일본		(주)추억을 파는 극장	전체관람가	애니메이션	야마모토 니조우	아오이 유우
동경 이야기	2014-08-16	일본	일본		오드	전체관람가	드라마	오즈 야스지로	치슈 류,히가시야마 치에코
숨바꼭질 : 극장판 - 도시전설	2014-08-15	일본	일본		(주)제이에이와이이엔터테인먼트	15세이상관람가	공포(호러)	토리이 야즈	노나카 미사토
듀크	2014-08-15	미국	미국		모비딕엔터테인먼트(주)	15세이상관람가	액션,범죄	앤서니 가우디소,제임스 가우디소	카민 지오비나조,행크 해리스,레슬리-앤 브랜트,바네사 펄리토
곤충왕국 3D	2014-08-14	한국	한국	㈜MBC	골든타이드픽처스(주)	전체관람가	다큐멘터리	김진만,김정민	김성주,김민국,김민율
제로법칙의 비밀	2014-08-14	미국	미국,루마니아,영국		와이드 릴리즈(주)	15세이상관람가	SF,판타지	테리 길리엄	크리스토프 왈츠,맷 데이먼,틸다 스윈튼,벤 위쇼
야누스: 욕망의 두 얼굴	2014-08-14	한국	한국	(주)패스파인더씨앤씨	(주)미디어데이	청소년관람불가	미스터리,멜로/로맨스	손영호	오인혜,이은미,크리스 조
바세코의 아이들	2014-08-14	한국	한국	타이밍(주)	(주)씨타마운틴픽쳐스	전체관람가	다큐멘터리	김경식	신승철,이경욱
엣지 오브 타임	2014-08-14	캐나다	캐나다		스크린조이	청소년관람불가	스릴러,범죄	칼 베사이	더스틴 밀리건
18: 우리들의 성장 느와르	2014-08-14	한국	한국	따듯한 영화사	어뮤즈	청소년관람불가	드라마	한윤선	이재응,장래군,김종엽,이익준,강경욱,강민석,박재희,박준기,박현준,소태윤
아야의 밤엔 사랑이 필요해	2014-08-14	프랑스	프랑스		(주)영화사 진진	15세이상관람가	애니메이션	마거리트 어바우트,클레망 우브르리	아이사 마이가,텔라 크포마우,재키 이도
넥스트 제네레이션 패트레이버 3	2014-08-14	일본	일본		(주)도키엔터테인먼트	15세이상관람가	액션,SF	오시이 마모루	마노 에리나,카케이 토시오,후쿠시 세이지
불완전한 사랑 완전한 섹스	2014-08-14	이탈리아	이탈리아		미디어소프트	청소년관람불가	멜로/로맨스	프란체스카 무치	안나 포그리에타,카밀라 필리피
